Country,Area,Population,Life,GDP,GDP.caput
Australia,7686850,18322231,77.78,374.6,20720
Bangladesh,144000,128094948,55.46,130.1,1040
Bhutan,47000,1780638,51.03,1.2,700
Brunei,5770,292266,71.24,4.4,16000
Burma(Myanma),678500,45103809,60.47,41.4,930
Cambodia,181040,10561373,49.46,6.4,630
China,9596960,1203097268,68.08,2978.8,2500
Hong.Kong,1040,5542869,80.18,136.1,24530
India,3287590,936545814,59.04,1253.9,1360
Indonesia,1919440,203583886,61.22,619.4,3090
Japan,377835,125506492,79.44,2527.4,20200
Laos,236800,4837237,52.2,4,850
Macau,16,490901,79.86,4.8,10000
Malaysia,329750,19723587,69.48,166.8,8650
Maldives,300,261310,65.49,0.36,1500
Nepal,140800,21560869,53.09,22.4,1060
North.Korea ,120540,23486550,70.05,21.3,920
Pakistan ,803940,131541920,57.86,248.5,1930
Philippines,300000,73265584,65.65,161.4,2310
Singapore,633,2890468,76.16,57,19940
South.Korea ,98480,45553882,70.89,508.3,11270
Sri.Lanka,65610,18342660,72.14,57.6,3190
Taiwan,35980,21500583,75.47,257,12070
Thailand ,514000,60271300,68.42,355.2,5970
Vietnam,329560,74393324,65.72,83.5,1140
