number,course,homework,howDIR,whereDIR,R,moodleProblem,RstudioLocal,RCloudorNot,pdfHtmlNotes,forum,socialCommunications,eCommunications,videocalll,social,lectureType,movies,eMeeting,you,preferredNumber,transport,sport,highschool,birthYear,shoesNumber,videotime,siblings,preferredColor,pet,hM,hP,h,soccerTeam,hairColor,eyesColor,sex,weight,hobby,birthMonth,preferredPet,preferredFood,remarks
1,2020 MS1801 9415 A001  GR1,Molto,Telefono,Casa,Difficile,Mai,Si,Sempre,pdf,Sarebbe utile mettere a disposizione almeno 2 ore alla settimana per fare delle lezioni online dove gli studenti possano chiarire eventuali dubbi sugli esercizi e dove si potessero svolgere almeno un paio di esercizi sotto la guida dell'insegnante.,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp
Telegram","WhatsApp
Skype",You Tube,Video registrati in differita,NA,"Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,9,Piedi,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Linguistico,2002,NA,NA,NA,NA,Nessuno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi
Telegram",Altro,"You Tube
Instagram",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),NA,Meet,2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Alpinismo
Equitazione",Liceo Classico,1999,37,8,1,Rosa,Altro,155,165,155,NA,Castani,Verdi,Femmina,57,"camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
danza
sport
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",11,cavallo,pasta al pesto,NA
3,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
Skype
FaceTime","You Tube
Instagram
Altro",Video registrati in differita,"Netflix
Amazon Prime video","Skype
FaceTime",2020 MS1801 9415 A001  GR1,8,Treno,NA,Altro,2001,42,10,0,Altro,Nessuno,160,190,180,nessuna,Biondi,Azzurri,Femmina,70,"ascoltare la musica
cinema
cucinare
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
moda
shopping
turismo
videogiochi",3,pinguino,lasagne,NA
4,2020 MS1801 9415 A001  GR1,Molto,Telefono,Casa,Difficile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
Skype","You Tube
Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,6,Bicicletta,"Ginnastica, aerobica, fitness e cultura fisica
Sci",Liceo Artistico,1998,37,2,1,Rosso,"Gatto
Cane
Pesci",150,181,170,Nessuna,Castani,Marroni,Femmina,55,"camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
sport
tecnologia, pc, scienza
volontariato (croce rossa, 118)",1,gatto,cioccolato,NA
5,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,FaceTime,Instagram,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,"Meet
FaceTime",2020 MS1801 9415 A001  GR1,10,Auto personale,Altro,Liceo Linguistico,1999,41,5,1,Viola,"Gatto
Cane",165,170,175,Inter,Castani,Verdi,Femmina,63,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
fotografia
guardare documentari, film, telefilm, serie tv, sport
suonare strumenti musicali
turismo",12,giraffa,fritto misto,NA
6,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Qualche volta utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",NA,"You Tube
Twitter
Instagram",Lezioni frontali in Aula,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,9,Auto personale,NA,Altro,2001,38,3,2,Rosa,Nessuno,159,165,153,nessuna,Neri,Marroni,Femmina,50,"ascoltare la musica
cucinare
guardare documentari, film, telefilm, serie tv, sport
studiare lingue orientali
volontariato (croce rossa, 118)",12,koala,cioccolato,"questionario divertente. Aggiungerei l'opzione ""nessuno"" nella parte dello sport. inoltre, aggiungerei l'opzione di scrivere ciò che si vuole nelle domande aperte."
7,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Qualche volta utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
FaceTime","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,5,Treno,Calcio e calcetto,Liceo Scientifico,1996,43,8,1,Nero,Nessuno,165,173,184,Milan,Castani,Marroni,Maschio,77,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cinema
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
motori
sport
tecnologia, pc, scienza
videogiochi
volontariato (croce rossa, 118)",1,aquila,pizza,NA
8,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Mai,Si,Spesso,pdf,personalmente del forum non cambierei nulla perchè ricevendo domande di altri studenti spesso coincidono con i miei dubbi quindi mi trovo bene.,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","Skype
FaceTime","Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,2,Auto personale,NA,Liceo Scientifico,2001,38,6,0,Rosa,"Gatto
Cane",164,176,175,nessuna,Castani,Marroni,Femmina,67,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
moda
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",5,gatto,cinese,NA
9,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Mai,pdf,"In nessun modo, sono già efficienti.",2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
FaceTime",Instagram,Lezioni frontali in Aula,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,3,Car sharing,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici
Sci",Liceo Classico,2001,37,3,2,Rosso,"Cane
Rettili",160,185,162,Milan,Biondi,Marroni,Femmina,50,"ballare
cinema
danza
guardare documentari, film, telefilm, serie tv, sport
moda
shopping
storia dell’arte
turismo",2,leone,pizza,NA
10,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
FaceTime","You Tube
Twitter
Instagram
Facebook",Lezioni frontali in Aula,Amazon Prime video,"Meet
FaceTime",2020 MS1801 9415 A001  GR1,5,Auto personale,Atletica leggera,Altro,2001,39,2,1,Arancione,Nessuno,170,170,173,juventus,Neri,Marroni,Femmina,59,"ascoltare la musica
palestra
sport
suonare strumenti musicali",4,koala,lasagne,NA
